Name,Coverage_LowBump?
LG13_11,1
K13_05,1
G11_09,1
G13_05,1
G13_10,1
LL13_03,1
G13_03,1
G11_06,1
SX13_01,1
L211_07,0
W11_06,0
BS13_02,0
L311_01,0
W13_11,0
W11_03,0
LG11_05,0
LG13_03,0
LG13_13,0
K13_06,0
L211_11,0
L211_101,0
LG13_12,0
F13_15,0
K13_10,0
BS13_10,0
W13_18,0
W13_13,0
BS11_05,0
L111_01,0
S11_01,0
LL13_06,0
S11_05,0
LE13_04,0
W13_16,0
K13_07,0
W13_15,0
G11_04,0
G13_09,0
G13_07,0
G13_11,0
BK11_02,0
G11_01,0
LL11_07,0
G13_01,0
SX13_11,0
G13_12,0
